Date,Open,High,Low,Close,Adj Close,Volume
2015-06-23,393.852997,398.673004,393.256012,395.092010,380.999603,5704527
2015-06-24,393.898987,396.101990,388.710999,390.179993,376.262817,2811533
2015-06-25,390.684998,394.358002,387.929993,391.786987,377.812500,4293103
2015-06-26,391.510986,393.394012,383.109985,383.752991,370.065063,2575208
2015-06-29,379.253998,381.962006,372.779999,380.033997,366.478699,3135740
2015-06-30,383.385010,387.471008,380.126007,385.681000,371.924255,5118263
2015-07-01,389.032013,393.394012,385.910004,389.721008,375.820190,3084177
2015-07-02,392.980011,402.299988,390.684998,397.709015,383.523285,4884043
2015-07-03,398.444000,401.977997,397.112000,399.498993,385.249420,3902480
2015-07-06,395.276001,402.346008,394.587006,397.662994,383.478882,2188004
2015-07-07,397.571014,400.417999,395.414001,396.515015,382.371887,1286928
2015-07-08,393.807007,397.571014,388.572998,395.092010,380.999603,3031293
2015-07-09,396.973999,406.661011,395.092010,398.398010,384.187683,6123315
2015-07-10,400.325989,400.325989,383.476990,384.992004,371.259888,5620409
2015-07-13,387.471008,391.970001,385.221985,389.032013,375.155823,2720152
2015-07-14,389.032013,390.684998,386.553009,387.747009,373.916565,1504181
2015-07-15,387.471008,391.878998,386.140015,388.343994,374.492279,2343274
2015-07-16,390.592987,391.510986,385.084015,389.903992,375.996643,2304472
2015-07-17,390.226013,394.816986,387.609009,391.006012,377.059357,3373086
2015-07-20,390.317993,397.112000,390.317993,394.312012,380.247437,2225152
2015-07-21,403.997986,415.429993,398.398010,408.819000,394.237000,6534994
2015-07-22,406.294006,412.032990,402.023987,403.447998,389.057556,3067803
2015-07-23,404.916992,405.053986,395.550995,397.479004,383.301453,2571689
2015-07-24,397.984009,402.988007,394.954010,398.398010,384.187683,2116695
2015-07-27,396.653015,398.306000,382.420990,383.752991,370.065063,2518565
2015-07-28,384.717010,390.226013,375.627014,376.453003,363.025452,3470335
2015-07-29,377.371002,385.588989,371.036011,383.476990,369.798859,3764145
2015-07-30,383.476990,391.097992,378.839996,382.834015,369.178833,3579494
2015-07-31,384.487000,391.282013,380.126007,384.532990,370.817230,3163443
2015-08-03,385.635010,388.389008,383.294006,384.625000,370.905945,1518258
2015-08-04,388.205994,391.144012,375.718994,379.437012,365.903046,5022633
2015-08-05,391.144012,392.704987,381.733002,383.385010,369.710205,6014643
2015-08-06,385.588989,387.471008,380.126007,381.044006,367.452728,3947108
2015-08-07,381.962006,382.880005,376.545013,377.921997,364.442017,4069197
2015-08-10,378.932007,381.457001,375.075989,376.636993,363.202850,2922186
2015-08-11,377.371002,378.289001,369.795990,371.725006,358.466095,3151173
2015-08-12,370.944000,372.505005,359.282990,366.078003,353.020508,4079168
2015-08-13,371.862000,380.813995,346.290985,353.315002,342.791565,7726315
2015-08-14,358.089996,364.333008,351.937988,362.772003,351.966827,3545865
2015-08-17,363.598999,366.032013,354.645996,358.273010,347.601837,1612691
2015-08-18,361.854004,363.322998,352.809998,354.003998,343.459991,1920183
2015-08-19,354.416992,354.783997,342.389008,351.248993,340.787018,4329462
2015-08-20,358.089996,359.925995,342.847992,348.907990,338.515778,4353242
2015-08-21,343.307007,343.307007,329.166992,339.312988,329.206573,6470622
2015-08-24,328.019012,336.649994,310.298004,319.802002,310.276703,7286296
2015-08-25,321.867004,337.431000,305.294006,319.846985,310.320343,8665265
2015-08-26,321.362000,322.188995,308.967010,311.446014,302.169586,7480156
2015-08-27,319.066986,322.372009,314.384003,318.882996,309.385071,8387754
2015-08-28,327.697998,334.997009,322.739990,332.839996,322.926392,6686825
2015-08-31,335.135010,336.053009,321.362000,325.311005,315.621613,8216694
2015-09-01,322.281006,325.585999,315.072998,317.139008,307.693054,4377293
2015-09-02,319.526001,321.178986,311.950989,315.165009,305.777802,6900506
2015-09-03,315.165009,319.480011,315.165009,318.377991,308.895081,3608020
2015-09-04,316.772003,323.795990,314.247009,321.362000,311.790283,5207677
2015-09-07,321.270996,321.270996,315.027008,318.700012,309.207581,2844924
2015-09-08,320.444000,320.856995,311.446014,319.296997,309.786743,3032336
2015-09-09,321.362000,335.778015,319.526001,325.493988,315.799133,6256804
2015-09-10,323.657990,323.657990,317.690002,321.776001,312.191925,3295298
2015-09-11,323.015015,324.989014,317.964996,320.169006,310.632782,3292628
2015-09-14,321.270996,325.953003,317.826996,325.173004,315.487762,2759215
2015-09-15,325.035004,325.035004,320.444000,322.281006,312.681854,2317823
2015-09-16,322.739990,332.471985,322.739990,330.084991,320.253418,2919457
2015-09-18,330.589996,333.252991,324.300995,327.697998,317.937531,6658342
2015-09-21,325.035004,329.626007,322.648010,323.473999,313.839325,2741258
2015-09-22,325.953003,325.953003,312.455994,315.670013,306.267792,4474442
2015-09-23,312.181000,314.934998,308.737000,310.252014,301.011200,4012502
2015-09-24,310.252014,310.894989,304.881012,305.707001,296.601501,9783790
2015-09-28,304.927002,307.957001,296.938995,300.795013,291.835815,5197762
2015-09-29,298.407990,300.061005,289.777008,296.250000,287.426208,6995001
2015-09-30,302.998993,311.032990,298.407990,310.207001,300.967529,7118192
2015-10-01,311.630005,312.593994,308.140991,311.675995,302.392731,4999922
2015-10-05,313.924988,319.020996,311.492004,317.919006,308.449799,5859816
2015-10-06,320.444000,321.912994,317.321991,320.307007,310.766693,4525863
2015-10-07,320.307007,320.398010,312.502014,314.614014,305.243256,3568619
2015-10-08,315.394012,317.414001,309.380005,313.604004,304.263306,4682348
2015-10-09,315.852997,320.351990,315.165009,319.158997,309.652893,5445838
2015-10-12,319.526001,323.290985,319.158997,320.903015,311.344940,2396460
2015-10-13,322.372009,322.923004,314.796997,317.184998,307.737640,2542329
2015-10-14,319.020996,321.500000,313.924988,317.964996,308.494415,3400209
2015-10-15,319.526001,324.484009,315.852997,322.510010,312.904083,5412567
2015-10-16,318.791992,323.612000,313.098999,321.040985,311.478790,4513441
2015-10-19,324.117004,335.731995,317.690002,333.941010,323.994568,4254242
2015-10-20,333.161011,336.971008,330.084991,332.243011,322.347168,2540369
2015-10-21,334.263000,343.214996,334.125000,341.102997,330.943268,4352989
2015-10-23,343.398987,344.040985,327.330994,329.717987,319.897369,4370279
2015-10-26,335.135010,335.364990,318.470001,323.381989,313.750092,7217918
2015-10-27,322.694000,325.678009,319.618011,323.795990,314.151764,2802530
2015-10-28,323.473999,330.315002,322.281006,328.983002,319.184296,3736717
2015-10-29,327.330994,329.579987,320.444000,326.321014,316.601532,4476899
2015-10-30,324.117004,331.371002,316.358002,320.489990,310.944214,3914972
2015-11-02,319.066986,322.923004,315.532013,321.500000,311.924133,2804413
2015-11-03,322.326996,324.851990,317.597992,319.204987,309.697449,1640170
2015-11-04,320.444000,321.638000,315.118988,318.057007,308.583679,2367954
2015-11-05,315.256989,317.690002,306.763000,309.013000,299.809082,3403663
2015-11-06,305.752991,314.154999,291.153992,311.446014,302.169586,3310905
2015-11-09,306.717010,310.894989,294.506012,307.819000,298.650635,3563846
2015-11-10,305.432007,308.231995,300.748993,304.514008,295.444061,2377263
2015-11-13,298.454010,308.507996,298.454010,306.579987,297.448486,2729138
2015-11-16,308.231995,311.537994,303.458008,308.278015,299.095947,2647965
2015-11-17,308.967010,310.023010,303.916992,307.131012,297.983124,2133021
2015-11-18,308.507996,314.154999,305.247986,306.626007,297.493195,2441160
2015-11-19,307.726990,313.098999,305.019012,311.766998,302.481018,1946468
2015-11-20,310.848999,316.174988,306.671997,313.420013,304.084839,2272992
2015-11-23,313.649994,317.872986,309.380005,311.261993,301.991058,2106819
2015-11-24,311.721985,317.414001,307.726990,313.604004,304.263306,2829135
2015-11-26,314.016998,317.368011,312.226990,314.154999,304.797882,7976914
2015-11-27,315.761993,316.541992,311.584015,314.200989,304.842529,1433142
2015-11-30,314.934998,315.852997,305.937012,306.993011,297.849243,6979656
2015-12-01,308.462006,308.462006,295.148010,296.342010,287.515442,8891435
2015-12-02,298.683014,298.912994,290.558014,296.480011,287.649353,6679353
